plz,ort,ags,landkreis
01067,Dresden,14612,Dresden
01069,Dresden,14612,Dresden
01097,Dresden,14612,Dresden
01099,Dresden,14612,Dresden
01108,Dresden,14612,Dresden
01109,Dresden,14612,Dresden
01127,Dresden,14612,Dresden
01129,Dresden,14612,Dresden
01139,Dresden,14612,Dresden
01156,Dresden,14612,Dresden
01157,Dresden,14612,Dresden
01159,Dresden,14612,Dresden
01169,Dresden,14612,Dresden
01187,Dresden,14612,Dresden
01189,Dresden,14612,Dresden
01217,Dresden,14612,Dresden
01219,Dresden,14612,Dresden
01237,Dresden,14612,Dresden
01239,Dresden,14612,Dresden
01257,Dresden,14612,Dresden
01259,Dresden,14612,Dresden
01277,Dresden,14612,Dresden
01279,Dresden,14612,Dresden
01307,Dresden,14612,Dresden
01309,Dresden,14612,Dresden
01324,Dresden,14612,Dresden
01326,Dresden,14612,Dresden
01328,Dresden,14612,Dresden
01445,Radebeul,14627,Meißen
01454,"Radeberg, Wachau",14625,Bautzen
01458,Ottendorf-Okrilla,14625,Bautzen
01465,Dresden,14612,Dresden
01468,Moritzburg,14627,Meißen
01471,Radeburg,14627,Meißen
01477,Arnsdorf b. Dresden,14625,Bautzen
01558,Großenhain,14627,Meißen
01561,"Großenhain, Ebersbach u.a.",14627,Meißen
01587,Riesa,14627,Meißen
01589,Riesa,14627,Meißen
01591,Riesa,14627,Meißen
01594,"Riesa, Stauchitz, Hirschstein",14627,Meißen
01609,"Gröditz, Wülknitz, Röderaue",14627,Meißen
01612,"Nünchritz, Glaubitz",14627,Meißen
01616,Strehla,14627,Meißen
01619,Zeithain,14627,Meißen
01623,Lommatzsch,14627,Meißen
01640,Coswig,14627,Meißen
01662,Meißen,14627,Meißen
01665,"Käbschütztal, Klipphausen, Diera-Zehren",14627,Meißen
01683,Nossen,14627,Meißen
01689,Weinböhla,14627,Meißen
01705,Freital,14628,Sächsische Schweiz-Osterzgebirge
01723,Wilsdruff,14628,Sächsische Schweiz-Osterzgebirge
01728,Bannewitz,14628,Sächsische Schweiz-Osterzgebirge
01731,Kreischa,14628,Sächsische Schweiz-Osterzgebirge
01734,Rabenau,14628,Sächsische Schweiz-Osterzgebirge
01737,Tharandt u.a.,14628,Sächsische Schweiz-Osterzgebirge
01738,Dorfhain,14628,Sächsische Schweiz-Osterzgebirge
01744,Dippoldiswalde,14628,Sächsische Schweiz-Osterzgebirge
01762,Hartmannsdorf-Reichenau,14628,Sächsische Schweiz-Osterzgebirge
01768,Glashütte,14628,Sächsische Schweiz-Osterzgebirge
01773,Altenberg,14628,Sächsische Schweiz-Osterzgebirge
01774,Klingenberg,14628,Sächsische Schweiz-Osterzgebirge
01776,Hermsdorf,14628,Sächsische Schweiz-Osterzgebirge
01778,Altenberg,14628,Sächsische Schweiz-Osterzgebirge
01796,"Pirna, Struppen, Dohma",14628,Sächsische Schweiz-Osterzgebirge
01809,Heidenau,14628,Sächsische Schweiz-Osterzgebirge
01814,Bad Schandau,14628,Sächsische Schweiz-Osterzgebirge
01816,Bad Gottleuba-Berggießhübel,14628,Sächsische Schweiz-Osterzgebirge
01819,Bahretal,14628,Sächsische Schweiz-Osterzgebirge
01824,Königstein/Sächs.Schw.,14628,Sächsische Schweiz-Osterzgebirge
01825,Liebstadt,14628,Sächsische Schweiz-Osterzgebirge
01829,Wehlen,14628,Sächsische Schweiz-Osterzgebirge
01833,"Stolpen, Dürrröhrsdorf-Dittersbach",14628,Sächsische Schweiz-Osterzgebirge
01844,Neustadt i. Sa.,14628,Sächsische Schweiz-Osterzgebirge
01847,Lohmen,14628,Sächsische Schweiz-Osterzgebirge
01848,Hohnstein,14628,Sächsische Schweiz-Osterzgebirge
01855,Sebnitz,14628,Sächsische Schweiz-Osterzgebirge
01877,Bischofswerda u.a.,14625,Bautzen
01896,Pulsnitz,14625,Bautzen
01900,"Großröhrsdorf, Bretnig-Hauswalde",14625,Bautzen
